YACIMIENTO_SEN,YAC_SEN,FORMACION,NOMBRE_CORTO,NOM_DE_ESTADO_TOW,NOMBRE_DE_ESTADO_TOW,Petroleo_Diario_m3,Petroleo_Mensual_m3,Petroleo_Acumulado_m3,Gas_Diario_m3,Gas_Mensual_m3,Gas_Acumulado_m3,Agua_diaria_m3,Agua_Mensual__m3,Agua_Acumulada__m3,TEF_de_Produccion_dias,TEF_de_Produccion_Acum,GOR
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_1976,Abandono_Permanente,AP,NA,NA,8272,NA,NA,25467,NA,NA,4049,NA,58.3,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_1978,Abandono_Permanente,AP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_198,Abandono_Permanente,AP,NA,NA,5833,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_1981,Abandono_Permanente,AP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_1982,Abandono_Permanente,AP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_1987,Abandono_Permanente,AP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_199,Abandono_Permanente,AP,NA,NA,3002,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_1993,Reserva_Recuperacion_Secundaria,RRS,NA,NA,50879.319,NA,NA,10305595.67,NA,NA,345352.02,NA,115.05,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_1996,Abandono_Permanente,AP,NA,NA,5149,NA,NA,22,NA,NA,185,NA,NA,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_1997,Abandono_Permanente,AP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_1999,A_Abandonar,AA,NA,NA,6492,NA,NA,138563,NA,NA,3276,NA,15.7,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_2,Abandono_Permanente,AP,NA,NA,11955,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_20,Abandono_Permanente,AP,NA,NA,2976,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_200,Abandono_Permanente,AP,NA,NA,9616,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_2000,Abandono_Permanente,AP,NA,NA,3082,NA,NA,NA,NA,NA,6011,NA,NA,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_2002,Reserva_Recuperacion_Secundaria,RRS,NA,NA,24543,NA,NA,5340,NA,NA,86820,NA,158,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_201,Abandono_Permanente,AP,NA,NA,7614,NA,NA,NA,NA,NA,NA,NA,NA,NA
